time,spi_weighted_maize,spi_weighted_wheat,spi_weighted_sorghum
1991-01-01,0.0,0.0,0.0
1991-02-01,0.0,0.0,0.0
1991-03-01,0.0,0.0,0.0
1991-04-01,0.0,0.0,0.0
1991-05-01,0.0,0.0,0.0
1991-06-01,-0.0891392464692879,-0.3663037340460553,0.022369661268382537
1991-07-01,-0.1868556646734893,-0.4622805177477759,-0.09236583993225
1991-08-01,-0.08239084442205544,-0.24122195184986514,-0.06540024942512754
1991-09-01,-0.2993979829201006,-0.4131379291809869,-0.21982474783832104
1991-10-01,-0.014287186230382087,-0.24359870747116424,-0.08417131006577472
1991-11-01,-0.6769428770123411,-0.5507152566240547,-0.7734629988239119
1991-12-01,-0.673133542902817,-0.8522435989719113,-0.638684772744286
1992-01-01,-0.8195300433964638,-0.945696709920725,-0.7254048246785012
1992-02-01,-0.884528107889225,-0.9921352889067413,-0.7048980196429616
1992-03-01,-1.1826478401810205,-1.2649368257575015,-1.059284840819561
1992-04-01,-0.9570077819830429,-0.9136217231247613,-0.9619283482375063
1992-05-01,-0.8599334191502286,-0.8935794993064874,-0.7552770383997234
1992-06-01,-0.6333050215880501,-0.8257947414033512,-0.5214650148970272
1992-07-01,-0.3474312435430835,-0.5327394888076742,-0.2827516942020633
1992-08-01,-0.3497896226727491,-0.35431694857917967,-0.28257942074085896
1992-09-01,0.10983517002319876,-0.03606375848874428,0.34259458625386124
1992-10-01,-0.1928011748329103,-0.04643164242098189,0.06163904843940844
1992-11-01,-0.20366347524294232,-0.1416203123146404,-0.10051018114736968
1992-12-01,-0.16693057994818658,0.009928253183539973,0.04994985387211277
1993-01-01,0.20539335275814577,0.5899101755810368,0.37493314849159104
1993-02-01,0.4267946901861458,0.9265430336539893,0.45865432533173633
1993-03-01,0.13026499267653896,0.5072071434471358,0.25777389037905707
1993-04-01,-0.31727800488758673,-0.0891765417586339,-0.08926020817189012
1993-05-01,-0.06336641142097654,0.13884968986535287,0.1137423234705174
1993-06-01,-0.11959273719901609,0.12839625297039056,-0.1325125881766102
1993-07-01,-0.8976448863435766,-0.6796350054597551,-0.9588110635195929
1993-08-01,-1.3309287967350565,-1.3837293773589052,-1.2196157966898404
1993-09-01,-1.1671341532917014,-1.1946920048345948,-1.1500170660770475
1993-10-01,-0.8754957694072392,-1.0840778657973622,-0.6905169047808918
1993-11-01,-1.3017501610424296,-1.415582941668887,-1.1225282335054463
1993-12-01,-1.4808193809411654,-1.8118373109301829,-1.1257813284409321
1994-01-01,-1.4300052356765045,-1.7633435067722432,-1.111664024023317
1994-02-01,-1.3221149937173393,-1.404840118864447,-1.085780520827487
1994-03-01,-0.9029565547926911,-1.019904721560814,-0.7705161881773954
1994-04-01,-0.6264156503146042,-0.6804663889051249,-0.6897221297336625
1994-05-01,-0.23296122880468145,-0.41758987149064425,-0.3988163104416357
1994-06-01,-0.08099584846182674,-0.10631991304021943,-0.35245386919902466
1994-07-01,0.1829912030184821,0.10916240163228982,-0.11085181746237341
1994-08-01,0.1897687707700139,0.13606891210682323,-0.13285495355773566
1994-09-01,-0.18966356200677442,-0.06850810555648836,-0.4904446641830855
1994-10-01,-0.0777285938514604,-0.12749861894141368,0.06410966297114096
1994-11-01,0.4941280914311498,0.23901034781542901,0.8410089735797095
1994-12-01,0.2946732389710458,-0.270128177369016,0.7923473212929892
1995-01-01,0.05615559764289315,-0.5451259546449543,0.6193357300645486
1995-02-01,0.1672424914822189,-0.4328480492803266,0.7360387809971137
1995-03-01,0.46528325731261483,0.028136762201182833,0.8591714425920096
1995-04-01,0.520119188552764,0.023388082248137872,0.8335743986304559
1995-05-01,-0.11943174184972265,-0.385939774446273,0.154271524314713
1995-06-01,-0.08308297049984738,-0.1508057068349429,-0.10114245888628966
1995-07-01,0.11177674044433918,-0.0800505658603541,0.1039832724566653
1995-08-01,-0.19222985929613967,-0.38530779728666914,-0.17092128711218516
1995-09-01,-0.346803352541399,-0.380317475116688,-0.3416416174466336
1995-10-01,-0.014886322943712452,-0.07388803669395586,0.44885600655323005
1995-11-01,-0.2463743007972645,-0.17812672985412867,-0.4022696302446951
1995-12-01,-0.34859325508017025,-0.3982827680134508,-0.39958742195521724
1996-01-01,-0.3291368906171151,-0.362856711838821,-0.38929863175780194
1996-02-01,0.032561330242489715,0.059844403097959846,-0.15940189335481322
1996-03-01,0.18769396133607907,-0.00887674713643736,0.02442697901396327
1996-04-01,-0.3298320109670072,-0.609705819571945,-0.6648707331689597
1996-05-01,-0.25763460750449724,-0.7155400649354815,-0.30138062809780164
1996-06-01,-0.09210804164377273,-0.38611904958569504,-0.17057545198937987
1996-07-01,0.006189401140135,0.22558040629302095,-0.14801497447258782
1996-08-01,-0.1830528824927301,0.12556610195474308,-0.320110354129091
1996-09-01,-0.42309684172013945,0.028816650021031377,-0.748931554389525
1996-10-01,-0.29397348717347105,0.38113972099168497,-0.5477696720128341
1996-11-01,-0.06684369054418396,0.6416320983694457,-0.12361490410292685
1996-12-01,-0.40075786136259517,0.14169641757349388,-0.5416531024191484
1997-01-01,-0.5835598283915218,-0.6887322229194625,-0.598299654750246
1997-02-01,-0.8844022507734947,-1.0066440352161046,-0.7981221414191447
1997-03-01,-1.1496792805365965,-1.21907251929938,-1.0692810771761574
1997-04-01,-0.18169750587255537,-0.006422349553909643,-0.27117173995753446
1997-05-01,-0.468454358611156,-0.20612689254766248,-0.4821848387965767
1997-06-01,-0.1514562308304532,0.04452142428525346,0.01830611955449541
1997-07-01,-0.06502770692696624,0.25387457443032013,0.1092434471871233
1997-08-01,0.14082815146997804,0.4365993735468892,0.3397893744001138
1997-09-01,0.028181532196327724,0.3910850667419752,0.3619667479900082
1997-10-01,-0.32708050586214915,-0.2615065703000199,0.08118108342989275
1997-11-01,0.7379220228562432,0.8827296774169955,1.1105495490725552
1997-12-01,1.0877664044993818,1.1840423125609125,1.4660207741221547
1998-01-01,1.6003883900718165,1.7838533743082159,1.8524178219957486
1998-02-01,1.7787903833923109,2.006705232583789,1.9103748433140153
1998-03-01,1.775593313679931,1.8449899090821698,1.898485431841469
1998-04-01,1.5194577551798074,1.339106415745565,1.7816023905354332
1998-05-01,1.2798684568564491,1.0181572152299803,1.5791516100010676
1998-06-01,0.9689122740896321,0.9573717319240895,1.0892556790581338
1998-07-01,0.31646045824262176,0.3205807520190629,0.3403573381326593
1998-08-01,-0.0792320870148771,-0.07703212871362085,-0.012568086705714812
1998-09-01,0.27930600761162544,0.21237482661144566,0.3865428783073672
1998-10-01,0.3889623555209079,0.503653043730118,0.2867114263401151
1998-11-01,-0.6286639215412901,-0.34585497155433875,-1.0436747175389098
1998-12-01,-1.0999123235628514,-0.9731725472735467,-1.4630577593630096
1999-01-01,-1.0917433750308727,-0.9094648087257405,-1.3801571485022353
1999-02-01,-1.1982653988775331,-1.1125957694621156,-1.4335150484096135
1999-03-01,-0.6190547013245474,-0.3539358683033751,-0.9669657295689814
1999-04-01,-0.6867637186250173,-0.6775940272390665,-0.9680538139792363
1999-05-01,-0.681853637487695,-0.8795794023825255,-0.7584058441389209
1999-06-01,-0.35305668990980854,-0.7899825821021084,-0.2649205453986957
1999-07-01,-0.38275949212190213,-0.9193033724473443,-0.2512472935342617
1999-08-01,-0.11154627427484218,-0.5732083464481063,0.031828206195934634
1999-09-01,-0.8217219184262781,-1.4041166697908047,-0.665084464826206
