commodity,best_spi_scale,correlation,spi_coefficient,spi_pvalue,n_obs,r_squared
Beans,3,0.008660152946484923,-0.021832964564693486,0.5276227448585665,584,0.8948748091217533
Maize,12,-0.09297543290287905,-0.11759718662607359,0.002494060815474303,607,0.9065561040632454
Rice,1,0.00907989324073509,-0.018523617223958323,0.4242685481957237,606,0.9294498249532951
Sorghum,1,0.015648291901865913,-0.006837198488506613,0.8390152820121778,541,0.9123972386763515
Wheat,3,-0.036688896870766256,0.009112832071418275,0.858135550673862,407,0.8435783162722736
