month,commodity_group,usdprice,spi_1,spi_3,spi_6,spi_12,spi_24,energy_index,food_index,spi_drought_1,spi_flood_1,spi_drought_3,spi_flood_3,spi_drought_6,spi_flood_6,spi_drought_12,spi_flood_12,spi_drought_24,spi_flood_24,selected_scale
2022-02-01,Oil (vegetable),2.97,-0.1450945099200596,0.0146459222194044,-0.1259572260636355,-0.0852106362383188,0.3781488540482331,133.31424055374,136.56691115617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2022-03-01,Oil (vegetable),3.795,-0.4065152069784457,-0.2780364755066213,-0.4442124892164836,-0.0045059289085596,0.1827644782831837,166.73239302763,151.99866272781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2022-04-01,Oil (vegetable),3.91,-0.3677577650617827,-0.6126503934759436,-0.6538707677233618,-0.2189822357767712,-0.2866764215057208,153.18659162076,152.87887214793,0.0,0.0,-0.6126503934759436,0.0,-0.6538707677233618,0.0,0.0,0.0,0.0,0.0,24
2022-05-01,Oil (vegetable),3.89,-1.2888758215156093,-1.2820827865511282,-1.1757723440003047,-0.7778994406399439,-0.5509418109493599,163.63299774551,153.06571374224,-1.2888758215156093,0.0,-1.2820827865511282,0.0,-1.1757723440003047,0.0,-0.7778994406399439,0.0,-0.5509418109493599,0.0,24
2022-06-01,Oil (vegetable),3.955,0.2900687689058833,-0.8755323367320299,-0.9556442348418378,-0.5914759466354139,-0.506134405002822,173.48221112801,145.41712931693,0.0,0.0,-0.8755323367320299,0.0,-0.9556442348418378,0.0,-0.5914759466354139,0.0,-0.506134405002822,0.0,24
2022-07-01,Oil (vegetable),3.745,-0.0535702385908754,-0.8462418004992913,-0.978640795413347,-0.7650858125057498,-0.6128896458153373,171.75250650949,132.68784469714,0.0,0.0,-0.8462418004992913,0.0,-0.978640795413347,0.0,-0.7650858125057498,0.0,-0.6128896458153373,0.0,24
2022-08-01,Oil (vegetable),3.7249999999999996,0.0457608588557591,0.0596549361664291,-0.7929422642130772,-0.6827200391082459,-0.6762208012812818,172.77086426625,131.46982146565,0.0,0.0,0.0,0.0,-0.7929422642130772,0.0,-0.6827200391082459,0.0,-0.6762208012812818,0.0,24
2022-09-01,Oil (vegetable),4.08,0.1260530912356881,0.0021550651142755,-0.6062160729176378,-0.6999374572040137,-0.7261166023390657,158.17363839615,131.24973189424,0.0,0.0,0.0,0.0,-0.6062160729176378,0.0,-0.6999374572040137,0.0,-0.7261166023390657,0.0,24
2022-10-01,Oil (vegetable),3.79,0.1463850087179153,0.2878409780662712,-0.2955998185132901,-0.6839456492663595,-0.602193029278574,146.1725229079,132.15626402768,0.0,0.0,0.0,0.0,0.0,0.0,-0.6839456492663595,0.0,-0.602193029278574,0.0,24
2022-11-01,Oil (vegetable),3.875,-0.3364424900759305,0.0984990256950099,0.1443060670345196,-0.6435715707924132,-0.5727655324013518,139.44136053757,131.6888561972,0.0,0.0,0.0,0.0,0.0,0.0,-0.6435715707924132,0.0,-0.5727655324013518,0.0,24
