country_name,admin2_name,mae,mape,mean_actual,n
KEN,Mandera East,12726.643853546626,0.24426486615099893,49627.97819444445,252
SOM,HUDUN,1654.9379671999009,0.24417809483418026,7338.721230158731,252
KEN,Mandera North,11708.256463293652,0.2278619159126116,48267.14434523809,252
KEN,Lafey,11720.157640438989,0.2268144967127601,48257.29057539682,252
SOM,BUAALE,2177.2652321273563,0.22364698509155304,10320.869523809524,252
KEN,Mandera South,11097.956686507936,0.21307710206773178,48041.24660714286,252
KEN,Banissa,10511.445486421131,0.20934269828043572,46695.84234126984,252
SOM,BERBERA,1312.1168742249504,0.20741775717263564,7111.557857142858,252
KEN,Moiben,8954.473774491567,0.20483707880522128,39270.7601984127,252
SOM,QORYOLEY,1397.5076533823164,0.20481792227468343,7836.50869047619,252
KEN,Mandera West,9938.32251829117,0.1952478136038313,46462.81559523809,252
SOM,BAIDOA,1793.1344049169147,0.18760172334715364,10461.331746031747,252
KEN,Wajir East,9680.59103546627,0.1858412921192697,45746.8496031746,252
SOM,BURAO,1277.0913133990575,0.18232197075297607,6946.75376984127,252
KEN,Nakuru Town East,8451.592377232144,0.17941141003323835,39956.15125,252
KEN,Tarbaj,9201.049109623016,0.17640697972699748,46404.93833333334,504
SOM,EL WAK,1733.4218942987352,0.17239305268143482,10680.535515873016,252
SOM,DOLO,2328.7843026103674,0.1698665206665318,13766.525515873016,252
SOM,TALEH,1243.3269539000496,0.16961710437628952,7355.793293650793,252
SOM,BELET WEYNE,2037.8141405862475,0.1688753183591209,11824.318055555555,504
SOM,BOSSASO,3412.8135729786704,0.16659640716900495,19936.14146825397,252
SOM,BALAD,1528.25204124814,0.16608056811870203,9407.22757936508,252
SOM,KISMAYO,2287.6365606398813,0.15974067074753345,13234.245238095238,252
KEN,Wajir South,8113.404625909392,0.15913818540278352,44757.38892857143,756
SOM,HAWAL WADAG,1561.2746969556051,0.15407135823400878,11170.433492063494,252
KEN,Sigor,7861.48628844246,0.15270126389195798,42094.62452380953,252
SOM,JOWHAR,1443.772798781622,0.15188746805563974,9550.449484126984,504
SOM,MARKA,1353.135681811136,0.1507782204724099,9237.013095238095,252
SOM,QANSAH DHEERE,1364.8854840184772,0.14978871676785926,9694.183412698414,252
SOM,DINSOOR,1269.9931666976686,0.1493105106602214,9114.344722222222,252
KEN,Eldas,7729.5236786954365,0.14869710986193943,45608.08456349206,252
SOM,HUDUR,2649.820470067584,0.1466229937497585,17587.013134920635,252
SOM,BELET HAWA,1958.6964161706348,0.1447784352693256,13317.815674603175,252
KEN,Wajir North,7414.306769593254,0.1443878815822364,45320.61793650794,252
SOM,AFGOI,1344.7678661334326,0.14428076980723936,9447.861111111111,252
SOM,AFMADOW,1720.882940034412,0.14295717624646884,11993.299365079365,504
SOM,GARDO,1177.9938431609623,0.1416480166963305,8054.690952380953,252
KEN,Kapenguria,7324.090959821428,0.1412106222303624,41465.52849206349,252
SOM,BULO BURTI,1712.1839079163567,0.14095021304234337,11793.95246031746,504
KEN,Wajir West,7134.921796254961,0.1404772283265758,44381.68892857143,252
KEN,Kitui Central,7216.55037279886,0.14025395746323116,43747.97142857143,504
SOM,LUUQ,1817.6699208674356,0.13993756922515554,12888.05865079365,252
SOM,EYL,1068.6028443545385,0.13795321809805605,7570.035396825397,252
KEN,Saku,6826.115707051919,0.13644446364445542,43635.26794312169,252
SOM,EL BARDE,1891.8976141648066,0.1339117113915093,13956.409722222223,504
SOM,GALKAYU NORTH,2581.057447529142,0.13221139228213724,17620.01388888889,504
SOM,JALALAQSI,1441.0963338216145,0.13205742434517498,10482.100198412698,504
SOM,DUSAMREB,1795.7888864087301,0.12985655313110914,13693.175793650793,504
SOM,ADALE,1444.5885423642114,0.12976016236544285,10273.724206349207,252
SOM,JARIBAN,2399.3103162202383,0.1296786272376551,17684.1123015873,504
SOM,ADADO,1908.0808861142114,0.1278721896844823,14753.989563492063,504
KEN,Moyale,6520.933151661707,0.12748193469843086,44187.28267857143,252
KEN,Nithi,6176.037507130456,0.1268214365226234,40065.735714285714,504
SOM,HOBYO,2143.8626622178817,0.12624893687195377,16381.610436507937,504
KEN,Kajiado East,6053.3216593812,0.12518339834711908,41090.951428571425,504
SOM,GAROWE,1112.66819343688,0.12509111310158597,8628.521507936508,252
SOM,KARAN,1244.7983265904018,0.1250482216829646,10226.49107142857,252
KEN,Baringo South,5820.301784267527,0.12294464564850052,39716.356626984125,252
SOM,ERIGAVO,1548.6450620814733,0.12284203027299634,11980.858293650794,252
KEN,Mathira,5819.402639508929,0.12269404081516623,40193.928452380955,504
SOM,ABUDWAQ,1791.9074641927084,0.12237317117059573,14424.383373015873,504
KEN,North Horr,6007.410952690972,0.12231909399168915,42744.39283730158,252
