target,horizon,spatial_fold,temporal_fold,n_train,n_val,rmse,mae,mape,r2,n,KEN_mape,SOM_mape
c_food_price_index,1,0,0,4248,5472,0.1331253222106219,0.08165515298582873,0.06895965661961391,0.35279473615044066,5472,0.06497523505309823,0.14067924481689623
c_food_price_index,1,0,1,8568,3192,0.08868209487208059,0.059559633832401905,0.04990236808613859,0.7184463060468609,3192,0.04667067711275434,0.1080728056070553
c_food_price_index,1,0,2,12888,912,0.052154731520599684,0.04249222970060305,0.03302117087344376,0.7212551609151571,912,0.03372309179087032,0.02038659435976561
c_food_price_index,1,1,0,4661,4464,0.230289739323389,0.14843433514557858,0.11107782026899342,0.24912526736801244,4464,0.04528606407102711,0.13799262962270692
c_food_price_index,1,1,1,9401,2604,0.19653734960868138,0.14463724037194584,0.10115598264239017,0.29674414915784386,2604,0.030861095818313207,0.1299129817976944
c_food_price_index,1,1,2,14141,744,0.03890625486286458,0.03025891336702532,0.021303154547140653,0.9345334781925091,744,0.027713937549781645,0.0186805615006057
c_food_price_index,1,2,0,3953,6192,0.1675810401560545,0.10975502305184767,0.09527620016083908,-0.16325097832772162,6192,0.09527620016083908,
c_food_price_index,1,2,1,7973,3612,0.07208680157436581,0.04870300667802537,0.04249930473360562,0.8046682234740705,3612,0.04249930473360562,
c_food_price_index,1,2,2,11993,1032,0.06018537420962154,0.050173473276305176,0.03962688877528746,0.5994860414206548,1032,0.03962688877528746,
c_food_price_index,1,3,0,5487,2448,0.4124466658981485,0.29663571438271236,0.19047517393550328,-0.3362271091259914,2448,,0.19047517393550328
c_food_price_index,1,3,1,11067,1428,0.44009153505699067,0.37447265633514953,0.22624404691239938,-1.6475632493130208,1428,,0.22624404691239938
c_food_price_index,1,3,2,16647,408,0.21967974628393547,0.19108618758472742,0.10795590306390278,-2.1359774075120916,408,,0.10795590306390278
c_food_price_index,1,4,0,5664,2016,0.34534996351218006,0.24501204062903684,0.1648861234609609,-0.19893809660490858,2016,,0.1648861234609609
c_food_price_index,1,4,1,11424,1176,0.3279660514313946,0.27319821287174617,0.173328964880139,-0.8828389133717243,1176,,0.173328964880139
c_food_price_index,1,4,2,17184,336,0.0501910958957507,0.04166474281322388,0.025715973280786664,0.7131763124026704,336,,0.025715973280786664
c_food_price_index,2,0,0,4248,5472,0.1605024274510193,0.10717266702996393,0.0916648941613103,0.059229031031029056,5472,0.08759848113505293,0.16486032863394234
c_food_price_index,2,0,1,8568,3192,0.12129039644017049,0.08680308642207701,0.07310313033316611,0.47332564319130466,3192,0.06923298430658018,0.14276575881171275
c_food_price_index,2,0,2,12888,912,0.0743846929600889,0.06029492976068951,0.04693787318557356,0.4329954337206292,912,0.04798727823278269,0.02804858233580949
c_food_price_index,2,1,0,4661,4464,0.2634120533141884,0.1769438074198034,0.1343433586497575,0.0175971779584847,4464,0.0628919378857844,0.16357348532592833
c_food_price_index,2,1,1,9401,2604,0.2382457695491073,0.18157162351359238,0.12842379474347296,-0.03341214052293928,2604,0.04943915068009792,0.160735694587581
c_food_price_index,2,1,2,14141,744,0.0581514018576114,0.0466069725187876,0.03299045764833595,0.8537483446138133,744,0.04545774711930353,0.027890202864758296
c_food_price_index,2,2,0,3953,6192,0.17905538896730017,0.12084170248393822,0.1058260123583846,-0.32800116417182035,6192,0.1058260123583846,
c_food_price_index,2,2,1,7973,3612,0.09904798325232184,0.07363810080855933,0.06474765394805608,0.6312324815039818,3612,0.06474765394805608,
c_food_price_index,2,2,2,11993,1032,0.08168991270798152,0.06949227038345993,0.055272834688921926,0.2621423399773978,1032,0.055272834688921926,
c_food_price_index,2,3,0,5487,2448,0.43859706220115163,0.3233020132877468,0.21056665649938547,-0.511040555268423,2448,,0.21056665649938547
c_food_price_index,2,3,1,11067,1428,0.5104122795046839,0.44667255917684046,0.2732969353712787,-2.561250652605418,1428,,0.2732969353712787
c_food_price_index,2,3,2,16647,408,0.25265963373427786,0.2224288615876553,0.1259714546440828,-3.1482470506780604,408,,0.1259714546440828
c_food_price_index,2,4,0,5664,2016,0.3777260342140392,0.2743536193550579,0.1867189172253382,-0.43427282272086876,2016,,0.1867189172253382
c_food_price_index,2,4,1,11424,1176,0.3693854350746757,0.3147348133216099,0.20135647688550434,-1.388443198535636,1176,,0.20135647688550434
c_food_price_index,2,4,2,17184,336,0.06036561233062439,0.04949811881496794,0.030548327645030553,0.5851024416613662,336,,0.030548327645030553
c_food_price_index,3,0,0,4248,5472,0.19023438518856123,0.13202300356858945,0.11333700090584704,-0.32159606013630526,5472,0.10923694854665052,0.18713794337138495
c_food_price_index,3,0,1,8568,3192,0.14209088488101265,0.10609758704807315,0.08980105071573002,0.27719394807870834,3192,0.08569290390146313,0.16374769337253398
c_food_price_index,3,0,2,12888,912,0.09909457009398283,0.08213715262756278,0.06378014225905723,-0.006280652732839176,912,0.0650955481361197,0.0401028364719327
c_food_price_index,3,1,0,4661,4464,0.28248988020298177,0.19408506276680149,0.1484730106006401,-0.12985861881314653,4464,0.0766289140556055,0.1778637773690634
c_food_price_index,3,1,1,9401,2604,0.2765970811137884,0.2135830501266705,0.1514534812806551,-0.39289490346938716,2604,0.06158694118585997,0.18821706586488948
c_food_price_index,3,1,2,14141,744,0.0795519926380918,0.06554621544576461,0.04629718010520406,0.7262951218008207,744,0.06264945697900813,0.03960761229319332
c_food_price_index,3,2,0,3953,6192,0.1933516621768832,0.13364615687833295,0.11771646569866702,-0.5485294986609439,6192,0.11771646569866702,
c_food_price_index,3,2,1,7973,3612,0.12458158168743774,0.09497239963790487,0.0835923691589671,0.4165964502207392,3612,0.0835923691589671,
c_food_price_index,3,2,2,11993,1032,0.11187211929538882,0.09649573794939105,0.07623111140248118,-0.38381953479844677,1032,0.07623111140248118,
c_food_price_index,3,3,0,5487,2448,0.471848048873319,0.358238235200737,0.23660312239359593,-0.7488357032451125,2448,,0.23660312239359593
c_food_price_index,3,3,1,11067,1428,0.5235379094264098,0.46346084611589505,0.2851324083610931,-2.746766103254865,1428,,0.2851324083610931
c_food_price_index,3,3,2,16647,408,0.26929508377572114,0.23708538425903697,0.1344561332142026,-3.7124823726890437,408,,0.1344561332142026
c_food_price_index,3,4,0,5664,2016,0.3986724063342276,0.2962892994781335,0.20358554646636362,-0.5977553716656003,2016,,0.20358554646636362
c_food_price_index,3,4,1,11424,1176,0.399322047267445,0.3453640963431118,0.22210595650334755,-1.7912707280952054,1176,,0.22210595650334755
c_food_price_index,3,4,2,17184,336,0.08217753205943207,0.06735033875419981,0.041594139847942926,0.23110356503280305,336,,0.041594139847942926
c_maize_fao,1,0,0,4248,5472,7091.97717639903,3859.5201800968143,0.08649731970566653,0.4419254928146257,5472,0.08639816104472929,0.08828217560253669
c_maize_fao,1,0,1,8568,3192,4700.614181848581,2773.0702720833383,0.06112089192708046,0.7957704825151264,3192,0.06056930100623242,0.07104952850234499
c_maize_fao,1,0,2,12888,912,4712.631475785702,3412.819450058115,0.06396094125442933,0.7660016276890866,912,0.06414934058895919,0.06056975323289162
c_maize_fao,1,1,0,4661,4464,6810.247073587984,3463.87653522013,0.12238359352809085,0.825941895750071,4464,0.19330135466685755,0.09337178215314082
