country_name,admin2_name,mae,mape,mean_actual,n
SOM,BOSSASO,0.5019709986353678,0.29365355502023727,1.5692857142857142,252
SOM,GARDO,0.4679368956978359,0.2791843458652102,1.5158333333333334,252
SOM,EYL,0.47015807510368407,0.2766854613245457,1.5360714285714285,252
SOM,GAROWE,0.44321886076813655,0.2633575798759294,1.5176984126984125,252
SOM,TALEH,0.4137117127955906,0.25236486099645083,1.4688095238095238,252
SOM,BURTINLE,0.3824255378378762,0.23524398571154032,1.4593650793650794,504
SOM,JARIBAN,0.3693888860136743,0.23053218569747233,1.4494047619047619,504
SOM,LAS ANOD,0.37560876752649036,0.22620529558290986,1.4690873015873016,504
SOM,GALKAYU NORTH,0.34829981667181803,0.2248281983054132,1.4182142857142856,504
SOM,HUDUN,0.3529730197266927,0.22354052602940191,1.3932936507936509,252
SOM,HOBYO,0.3202834977800884,0.2067896977712356,1.394206349206349,504
SOM,ERIGAVO,0.30042393405286094,0.1968476787276376,1.3047619047619048,252
SOM,ADADO,0.2851505427748438,0.18976889477038383,1.3476984126984126,504
SOM,ABUDWAQ,0.27525542040665946,0.18465204552987446,1.3342460317460318,504
SOM,DUSAMREB,0.2645436494643726,0.17831461138101523,1.3148809523809524,504
SOM,HUDUR,0.24046387464281113,0.1687949429486293,1.2832539682539683,252
SOM,DOLO,0.23494665801525116,0.16571107981407723,1.2682936507936509,252
SOM,BELET HAWA,0.23202009725192238,0.1633561566929937,1.2678174603174603,252
SOM,EL BARDE,0.21938712182972167,0.15942222998415317,1.2433333333333334,504
SOM,LUUQ,0.2197540042703114,0.15690333337994405,1.255079365079365,252
SOM,RABDURE,0.2159698487368841,0.15558088510140436,1.2463888888888888,252
SOM,BUAALE,0.2144069068015568,0.15503930313462586,1.229325396825397,252
SOM,BELET WEYNE,0.21988877044783697,0.15385947110244302,1.2751190476190475,504
SOM,BULO BURTI,0.21480205459254129,0.1527643193026146,1.260515873015873,504
SOM,EL WAK,0.21184151472553375,0.15169294039497486,1.2234126984126985,252
SOM,JALALAQSI,0.20839371614985996,0.14993126294951556,1.2434920634920636,504
SOM,KARAN,0.21147864729639082,0.1485310829785907,1.269246031746032,252
SOM,ADALE,0.20855617149481698,0.14658396082903172,1.2532142857142856,252
SOM,KISMAYO,0.1904240240842577,0.14470143012394945,1.2008730158730159,252
SOM,BAIDOA,0.193863141252881,0.14401826608361273,1.1985317460317462,252
SOM,HAWAL WADAG,0.19840696266719274,0.14324922335903775,1.2526587301587302,252
SOM,AFMADOW,0.1915579011279439,0.14307201006066317,1.1995238095238094,504
SOM,QANSAH DHEERE,0.19153667252215129,0.14294057190951634,1.1911904761904761,252
