country_name,admin2_name,mae,mape,mean_actual,n
KEN,Mandera East,12601.90800595238,0.24208994675111,49627.97819444445,252
KEN,Mandera North,11406.313144221229,0.22192004918223343,48267.14434523809,252
KEN,Lafey,11420.019011966766,0.22087094899939513,48257.29057539682,252
KEN,Mandera South,10857.166369667659,0.20832097138942368,48041.24660714286,252
KEN,Banissa,9855.694537140378,0.19476492375008314,46695.84234126984,252
SOM,BUAALE,1879.1011076233879,0.19416471134266147,10320.869523809524,252
KEN,Mandera West,9664.265778149802,0.1895918668880487,46462.81559523809,252
KEN,Wajir East,9380.231949094743,0.17950673121293975,45746.8496031746,252
SOM,QORYOLEY,1224.0982862103174,0.17527425978803587,7836.50869047619,252
KEN,Moiben,7987.477391493055,0.17419555719829596,39270.7601984127,252
KEN,Tarbaj,8803.441968781002,0.16824165933789972,46404.93833333334,504
KEN,Nakuru Town East,7714.065009610615,0.15999701106265493,39956.15125,252
KEN,Wajir South,7581.989620225695,0.14774209921922196,44757.38892857143,756
KEN,Sigor,7475.554811507936,0.1437124457587672,42094.62452380953,252
SOM,BAIDOA,1378.9678746589782,0.14352575482519506,10461.331746031747,252
KEN,Eldas,7225.769917224702,0.1377244846909058,45608.08456349206,252
SOM,BERBERA,906.2619695560516,0.13691903041144388,7111.557857142858,252
SOM,BURAO,950.4078266834078,0.13635671995971677,6946.75376984127,252
SOM,HUDUN,965.6829682074653,0.13629641494668535,7338.721230158731,252
SOM,HAWAL WADAG,1413.8689306640624,0.13574648630804584,11170.433492063494,252
KEN,Wajir North,6969.096732390873,0.13476411935535162,45320.61793650794,252
SOM,BALAD,1228.4194522724454,0.13409319353660465,9407.22757936508,252
SOM,EL WAK,1380.0281992885043,0.13347159135330433,10680.535515873016,252
KEN,Kapenguria,6988.875283668155,0.13331578581839504,41465.52849206349,252
SOM,MARKA,1167.114394608755,0.13317859592225675,9237.013095238095,252
SOM,DOLO,1765.9327682446678,0.13077188125224254,13766.525515873016,252
SOM,BELET WEYNE,1562.1716419038319,0.1295808797028542,11824.318055555555,504
